,Underlying,timestamp,quarter
978,EIX,2017-10-31,2017-12-31
979,EIX,2018-02-23,2018-03-31
980,EIX,2018-05-02,2018-06-30
981,EL,2017-08-18,2017-09-30
982,EL,2017-11-01,2017-12-31
983,EL,2018-02-02,2018-03-31
986,ELF,2017-11-09,2017-12-31
987,ELF,2018-02-28,2018-03-31
988,ELF,2018-05-10,2018-06-30
989,EMES,2017-08-03,2017-09-30
990,EMES,2017-11-01,2017-12-31
991,EMES,2018-02-26,2018-03-31
992,EMES,2018-05-01,2018-06-30
993,EMR,2017-08-01,2017-09-30
994,EMR,2017-11-07,2017-12-31
995,EMR,2018-02-06,2018-03-31
996,EMR,2018-05-01,2018-06-30
999,ENB,2017-08-03,2017-09-30
1000,ENB,2017-11-02,2017-12-31
1001,ENBL,2017-08-01,2017-09-30
1002,ENBL,2017-11-01,2017-12-31
1003,ENBL,2018-02-20,2018-03-31
1004,ENBL,2018-05-02,2018-06-30
1005,ENDP,2017-08-08,2017-09-30
1006,ENDP,2017-11-10,2017-12-31
1007,ENDP,2018-02-27,2018-03-31
1008,ENDP,2018-05-08,2018-06-30
1017,ENPH,2017-08-09,2017-09-30
1018,ENPH,2017-11-08,2017-12-31
1019,ENPH,2018-02-28,2018-03-31
1020,ENPH,2018-05-02,2018-06-30
1021,EOG,2017-08-02,2017-09-30
1022,EOG,2017-11-03,2017-12-31
1023,EOG,2018-02-28,2018-03-31
1024,EOG,2018-05-04,2018-06-30
1025,EPD,2017-08-03,2017-09-30
1026,EPD,2017-11-02,2017-12-31
1027,EPD,2018-01-31,2018-03-31
1028,EPD,2018-04-30,2018-06-30
1029,EPR,2017-08-04,2017-09-30
1030,EPR,2017-11-03,2017-12-31
1031,EPR,2018-03-01,2018-03-31
1032,EPR,2018-05-09,2018-06-30
1033,EQT,2017-07-27,2017-09-30
1034,EQT,2017-10-26,2017-12-31
1035,EQT,2018-02-15,2018-03-31
1036,EQT,2018-04-26,2018-06-30
1037,ERIC,2017-07-18,2017-09-30
1038,ERIC,2017-10-20,2017-12-31
1039,ERIC,2018-01-31,2018-03-31
1040,ERIC,2018-04-20,2018-06-30
1045,ESRX,2017-07-27,2017-09-30
1046,ESRX,2017-10-25,2017-12-31
1047,ESRX,2018-02-28,2018-03-31
1048,ESRX,2018-05-03,2018-06-30
1049,ESV,2017-07-27,2017-09-30
1050,ESV,2017-10-26,2017-12-31
1051,ESV,2018-02-27,2018-03-31
